REF_DATE,GEO,Sex,Characteristics,Primary_Types,Stage
2011,Newfoundland and Labrador,Both sexes,"Low 95% confidence interval, cancer incidence rate",Cervix uteri ,Stage not available 
2011,Newfoundland and Labrador,Both sexes,"High 95% confidence interval, cancer incidence rate",Prostate ,All stages combined 
2011,Newfoundland and Labrador,Both sexes,Total number of cancer cases,Prostate ,All stages combined 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,All stages combined 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,All stages combined 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage 0 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage I 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage I 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage I 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage I 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage II 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage II 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage II 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage II 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage III 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage III 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage III 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage III 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage IV 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage IV 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage IV 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage IV 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage unknown 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage unknown 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage unknown 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage unknown 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Prostate ,Stage not available 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Prostate ,Stage not available 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Prostate ,Stage not available 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Prostate ,Stage not available 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage I 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage I 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage I 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage I 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage II 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage II 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage II 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage II 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage III 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage III 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage III 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage III 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage unknown 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage unknown 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage unknown 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon and rectum ,Stage unknown 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage not available 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon and rectum ,Stage not available 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage not available 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon and rectum ,Stage not available 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,All stages combined 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage 0 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,Stage I 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage I 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage I 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage I 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,Stage II 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage II 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage II 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage II 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,Stage III 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage III 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage III 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage III 
2011,Newfoundland and Labrador,Males,Cancer incidence rate,Colon excluding rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,"Low 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,"High 95% confidence interval, cancer incidence rate",Colon excluding rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage IV 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage unknown 
2011,Newfoundland and Labrador,Males,Total number of cancer cases,Colon excluding rectum ,Stage unknown 
